"","Name","City","State","Enrollment","Private","Region","Adm_Rate","ACT_median","ACT_Q1","ACT_Q3","Cost","Net_Tuition","Avg_Fac_Salary","PercentFemale","PercentWhite","PercentBlack","PercentHispanic","PercentAsian","FourYearComp_Males","FourYearComp_Females","Debt_median","Salary10yr_median"
"407","Emory & Henry College","Emory","VA",964,"Private","South East",0.6952,21,18,18,47025,15007,62442,0.4874100719,0.890400009155273,0.0765000009536743,0.0209999990463256,0.0121000003814697,0.441860465116,0.666666666667,18846,40700
"408","Emory University","Atlanta","GA",6975,"Private","South East",0.1852,33,31,31,66950,27038,130374,0.6606479023,0.748600006103515,0.158900003433227,0.0748000001907348,0.0438999986648559,0.862068965517,0.889256198347,16250,66000
"409","Emporia State University","Emporia","KS",3447,"Public","Plains",0.8532,22,19,19,18358,7027,61515,0.6277056277,0.885699996948242,0.0360999989509582,0.0732000017166137,0.0136000001430511,0.333333333333,0.411870503597,14000,37100
"411","Erskine College","Due West","SC",572,"Private","South East",0.5824,21,18,18,51998,8741,43056,0.4461942257,0.760199966430664,0.202000007629394,0.0280999994277954,0.0112999999523162,0.444444444444,0.614285714286,12375,37400
"413","Eureka College","Eureka","IL",557,"Private","Great Lakes",0.5728,21,17,17,35575,13367,51111,0.4811083123,0.883399963378906,0.0757999992370605,0.0373000001907348,0.010900000333786,0.362637362637,0.643410852713,14750,36000
"420","Fairmont State University","Fairmont","WV",3540,"Public","South East",0.9477,21,18,18,16864,3711,57870,0.5655696203,0.950400009155273,0.0289000010490417,0.0099000000953674,0.0066000002622604,0.331300813008,0.368333333333,12500,33000
"421","Farmingdale State College","Farmingdale","NY",9394,"Public","Mid East",0.4607,22,20,20,16091,5144,74997,0.4639451728,0.733199996948242,0.150500001907348,0.127399997711181,0.0359999990463256,0.366565961732,0.410761154856,11500,51700
"422","Faulkner University","Montgomery","AL",2079,"Private","South East",0.5227,21,18,18,33944,11044,51687,0.6387315968,0.648799972534179,0.318899993896484,0.0180999994277954,0.0104999995231628,0.191135734072,0.359489051095,15500,35400
"423","Fayetteville State University","Fayetteville","NC",4915,"Public","South East",0.6787,20,18,18,16030,3313,76356,0.6982674076,0.541199989318847,0.365099983215332,0.0657000017166137,0.0155999994277954,0.317880794702,0.376537369915,17812,31200
"424","Felician University","Lodi","NJ",1617,"Private","Mid East",0.8055,19,15,15,47282,18111,59607,0.7327141383,0.679199981689453,0.13869999885559,0.185,0.0728000020980835,0.383177570093,0.481727574751,19791,47300
"425","Ferris State University","Big Rapids","MI",11008,"Public","Great Lakes",0.809,23,19,19,22715,10838,81756,0.5511797363,0.890999984741211,0.0609000015258789,0.0314000010490417,0.0115999996662139,0.409534750144,0.430309173847,16492,44500
"426","Ferrum College","Ferrum","VA",1121,"Private","South East",0.754,20,17,17,46382,13979,53604,0.3958785249,0.785599975585937,0.165499992370605,0.0345000004768371,0.018400000333786,0.202247191011,0.366379310345,12000,37300
"427","Finlandia University","Hancock","MI",405,"Private","Great Lakes",0.3203,20,17,17,33565,15444,46836,0.421875,0.929400024414062,0.0209999990463256,0.0213000011444091,0.0111000001430511,0.230769230769,0.393939393939,10000,32400
"429","Fisk University","Nashville","TN",743,"Private","South East",0.7149,20,17,17,37070,8505,49914,0.7410714286,0.444199981689453,0.451699981689453,0.0826000022888183,0.0354999995231628,0.141025641026,0.321739130435,24155,35000
"430","Fitchburg State University","Fitchburg","MA",4070,"Public","New England",0.8689,22,19,19,22403,7303,82143,0.534308779,0.897300033569336,0.0299000000953674,0.0590999984741211,0.0241000008583068,0.498905908096,0.565602836879,17505,45700
"432","Flagler College-St Augustine","Saint Augustine","FL",2589,"Private","South East",0.5665,23,20,20,33047,15112,67806,0.6926470588,0.829499969482422,0.116700000762939,0.0553999996185302,0.0188999998569488,0.575562700965,0.645951035782,15750,38900
"433","Florida Agricultural and Mechanical University","Tallahassee","FL",7711,"Public","South East",0.3886,21,19,19,22716,4600,72099,0.6479351803,0.541199989318847,0.379199981689453,0.113900003433227,0.0200999999046325,0.332409972299,0.431388660641,19500,37600
"434","Florida Atlantic University","Boca Raton","FL",23265,"Public","South East",0.5932,23,21,21,19559,6183,82602,0.6122837041,0.749700012207031,0.169200000762939,0.146099996566772,0.0205999994277954,0.457204301075,0.5248004561,12500,43200
"435","Florida Gulf Coast University","Fort Myers","FL",13639,"Public","South East",0.6492,23,21,21,19237,5059,73278,0.5940099834,0.867600021362304,0.0690999984741211,0.112600002288818,0.0122000002861022,0.374193548387,0.456231884058,12625,42100
"436","Florida Institute of Technology","Melbourne","FL",3411,"Private","South East",0.6504,28,25,25,58508,22571,87246,0.5243741765,0.845100021362304,0.0835000038146972,0.0843000030517578,0.024300000667572,0.25296912114,0.105851979346,12625,56600
"438","Florida International University","Miami","FL",41777,"Public","South East",0.5856,25,23,23,19434,5881,94626,0.6069360848,0.727200012207031,0.170100002288818,0.500999984741211,0.0194000005722045,0.395909805978,0.472301541976,14750,46300
"441","Florida Southern College","Lakeland","FL",2666,"Private","South East",0.5023,26,23,23,49296,16887,75546,0.6856899489,0.833899993896484,0.0952000045776367,0.0923999977111816,0.0186000001430511,0.557894736842,0.634408602151,18750,41400
"442","Florida State University","Tallahassee","FL",32072,"Public","South East",0.3678,28,26,26,21623,5766,99972,0.5844654153,0.776699981689453,0.156899995803833,0.113500003814697,0.0202999997138977,0.640525477707,0.714589665653,17500,46400
"443","Fontbonne University","Saint Louis","MO",881,"Private","Plains",0.8144,21,18,18,38830,15275,62370,0.660091047,0.715299987792968,0.248199996948242,0.0149000000953674,0.0150999999046325,0.38961038961,0.572769953052,20409,40800
"444","Fordham University","Bronx","NY",9392,"Private","Mid East",0.4602,30,28,28,67393,28317,124038,0.6138842975,0.715500030517578,0.123800001144409,0.15619999885559,0.0565999984741211,0.738058551618,0.760663507109,22250,59200
"446","Fort Lewis College","Durango","CO",3118,"Public","Rocky Mountains",0.9092,21,18,18,25229,5025,65619,0.5287990196,0.746800003051757,0.0149000000953674,0.101599998474121,0.0139999997615814,0.387096774194,0.444660194175,10000,35200
"447","Fort Valley State University","Fort Valley","GA",2337,"Public","South East",0.6127,18,16,16,20811,3208,53496,0.5739848589,0.470499992370605,0.476500015258789,0.0469000005722045,0.015,0.168224299065,0.280632411067,24250,30900
"448","Framingham State University","Framingham","MA",3804,"Public","New England",0.7329,21,18,18,24923,6790,79992,0.5988700565,0.897799987792968,0.0340000009536743,0.0409999990463256,0.0276999998092651,0.485714285714,0.571639586411,18163,45800
"449","Francis Marion University","Florence","SC",3097,"Public","South East",0.6419,20,17,17,20451,6763,66933,0.6856338028,0.587200012207031,0.384000015258789,0.0187999999523162,0.0080000001192092,0.293548387097,0.358799454297,18750,33100
"450","Franciscan Missionaries of Our Lady University","Baton Rouge","LA",1049,"Private","South East",0.592,22,20,20,24610,16261,64647,0.8931082982,0.692600021362304,0.275,0.0213000011444091,0.0130999994277954,0.433333333333,0.460280373832,15070,47200
"451","Franciscan University of Steubenville","Steubenville","OH",2117,"Private","Great Lakes",0.771,25,22,22,37257,15451,71442,0.5899014778,0.874800033569336,0.0559000015258789,0.0582999992370605,0.0221000003814697,0.655913978495,0.761006289308,20500,37700
"453","Franklin College","Franklin","IN",925,"Private","Great Lakes",0.7544,22,18,18,43230,13246,59400,0.4662813102,0.930899963378906,0.04,0.0229999995231628,0.0075999999046325,0.507246376812,0.624113475177,23000,44100
"454","Franklin Pierce University","Rindge","NH",1627,"Private","New England",0.6611,21,17,17,51577,16040,53046,0.5422661871,0.913499984741211,0.0326999998092651,0.0373000001907348,0.0199000000953674,0.413669064748,0.538709677419,12521,39700
"456","Freed-Hardeman University","Henderson","TN",1311,"Private","South East",0.9316,25,21,21,34656,8938,60840,0.6237288136,0.860800018310547,0.10289999961853,0.0278999996185302,0.0083999997377395,0.527777777778,0.578034682081,18750,37100
"457","Fresno Pacific University","Fresno","CA",2888,"Private","Far West",0.8511,20,17,17,40950,16592,64494,0.7451317297,0.615299987792968,0.041100001335144,0.396500015258789,0.0559000015258789,0.371647509579,0.437990580848,18774,43900
"458","Friends University","Wichita","KS",1071,"Private","Plains",0.4735,21,18,18,37845,13100,61128,0.5522620905,0.834499969482422,0.068600001335144,0.0759999990463257,0.0224000000953674,0.195555555556,0.245283018868,18750,41800
"459","Frostburg State University","Frostburg","MD",4359,"Public","Mid East",0.7831,20,17,17,21642,5984,63531,0.5270209915,0.759199981689453,0.185200004577636,0.0298000001907348,0.0258999991416931,0.488549618321,0.60685483871,15000,44600
"461","Furman University","Greenville","SC",2731,"Private","South East",0.6105,30,28,28,63551,22524,86787,0.5850556439,0.799700012207031,0.146999998092651,0.0426999998092651,0.0219000005722045,0.697183098592,0.73417721519,19500,51200
"462","Gallaudet University","Washington","DC",1112,"Private","Mid East",0.5706,18,15,15,37188,13462,92997,0.5157480315,0.729000015258789,0.140500001907348,0.117600002288818,0.0448999977111816,0.45,0.496296296296,11105,31000
"463","Gannon University","Erie","PA",2733,"Private","Mid East",0.8085,23,20,20,43322,17123,70848,0.6236933798,0.912600021362304,0.0584000015258789,0.0183000004291534,0.0087000000476837,0.522900763359,0.596658711217,25000,48100
"464","Gardner-Webb University","Boiling Springs","NC",2010,"Private","South East",0.4814,21,18,18,43652,11922,62406,0.6739130435,0.800299987792968,0.15539999961853,0.0392000007629394,0.0124000000953674,0.489583333333,0.622180451128,17000,38700
"465","Geneva College","Beaver Falls","PA",1263,"Private","Mid East",0.6332,24,20,20,37018,12990,61443,0.5231607629,0.878399963378906,0.0901000022888183,0.0175999999046325,0.0110000002384185,0.464646464646,0.575221238938,19500,38700
"466","George Fox University","Newberg","OR",2669,"Private","Far West",0.8231,24,21,21,48211,18343,69192,0.5617623918,0.859700012207031,0.0139999997615814,0.0898999977111816,0.0336999988555908,0.681592039801,0.681034482759,19500,45100
"467","George Mason University","Fairfax","VA",25508,"Public","South East",0.8106,27,24,24,25871,12367,98577,0.557201846,0.721100006103515,0.12539999961853,0.0910000038146972,0.0805000019073486,0.604296212549,0.709401709402,16750,59900
"468","George Washington University","Washington","DC",12161,"Private","Mid East",0.4187,31,29,29,69204,31783,131931,0.6346801347,0.787099990844726,0.0976000022888183,0.0835000038146972,0.0551999998092651,0.688816855754,0.74201183432,19500,69600
"469","Georgetown College","Georgetown","KY",961,"Private","South East",0.4795,23,20,20,49761,10362,56241,0.5257548845,0.917799987792968,0.0553999996185302,0.0158000004291534,0.0083999997377395,0.406504065041,0.583333333333,14613,43000
"470","Georgetown University","Washington","DC",7089,"Private","Mid East",0.1452,33,31,31,71580,37738,138438,0.5899705015,0.753499984741211,0.114399995803833,0.110299997329711,0.0590999984741211,0.887671232877,0.876086956522,14500,93500
"471","Georgia College & State University","Milledgeville","GA",5834,"Public","South East",0.7778,25,23,23,28027,8641,62910,0.6411530815,0.715599975585937,0.233700008392334,0.0352999997138977,0.0221000003814697,0.497607655502,0.620143884892,16283,40500
"473","Georgia Institute of Technology-Main Campus","Atlanta","GA",15201,"Public","South East",0.2153,33,31,31,28501,13259,114543,0.3774373259,0.756399993896484,0.165,0.0698000001907348,0.0357999992370605,0.69670152856,0.715517241379,21500,79100
"474","Georgia Southern University","Statesboro","GA",22239,"Public","South East",0.6767,23,21,21,21884,6003,60156,0.5293563156,0.686100006103515,0.261100006103515,0.0409000015258789,0.0190999996662139,0.345205479452,0.443171540549,15750,41900
"475","Georgia Southwestern State University","Americus","GA",2231,"Public","South East",0.6929,20,18,18,19512,4919,54675,0.6595441595,0.572400016784668,0.391399993896484,0.0307999992370605,0.0094999998807907,0.326271186441,0.410646387833,12000,36400
"476","Georgia State University","Atlanta","GA",26489,"Public","South East",0.7137,24,21,21,23951,7597,79020,0.6300794494,0.599399986267089,0.318500003814697,0.0638000011444091,0.0345000004768371,0.221772561716,0.269042437432,11750,43300
"477","Georgian Court University","Lakewood","NJ",1574,"Private","Mid East",0.725,21,17,17,47957,17443,76194,0.7289325843,0.865899963378906,0.0669999980926513,0.0675,0.0288000011444091,0.512820512821,0.595238095238,18750,44400
"481","Gonzaga University","Spokane","WA",5237,"Private","Far West",0.6562,28,25,25,57052,21683,86697,0.5262440354,0.834899978637695,0.0227999997138977,0.0780999994277954,0.0542000007629394,0.748571428571,0.799145299145,21250,56100
"482","Gordon College","Wenham","MA",1593,"Private","New England",0.7547,26,22,22,49450,17349,63414,0.6497622821,0.905100021362304,0.0324000000953674,0.04,0.0275,0.60625,0.568265682657,21500,41700
"483","Goshen College","Goshen","IN",825,"Private","Great Lakes",0.6603,24,20,20,44481,14728,52047,0.6706730769,0.890999984741211,0.0356999993324279,0.0740999984741211,0.0139999997615814,0.532258064516,0.659090909091,14500,37700
"485","Governors State University","University Park","IL",3225,"Public","Great Lakes",0.3835,18,16,16,24307,8161,63027,0.6763241286,0.568800010681152,0.358400001525878,0.0821000003814697,0.0147000002861022,0.492012779553,0.495077355837,14000,40800
"487","Grace College and Theological Seminary","Winona Lake","IN",1353,"Private","Great Lakes",0.8179,24,20,20,33677,8479,63495,0.6288659794,0.914100036621093,0.0323000001907348,0.0503000020980835,0.0112000000476837,0.621118012422,0.64,16772,34900
"488","Graceland University-Lamoni","Lamoni","IA",1125,"Private","Plains",0.5806,21,18,18,41130,13000,54891,0.5477629988,0.834400024414062,0.0822999954223632,0.0703000020980835,0.0235999989509582,0.422818791946,0.670411985019,15000,36200
"489","Grambling State University","Grambling","LA",4110,"Public","South East",0.9475,18,16,16,25927,5018,53154,0.5489778535,0.484300003051757,0.445200004577636,0.0678999996185302,0.0180999994277954,0.218623481781,0.309667673716,25250,28100
"491","Grand Valley State University","Allendale","MI",21589,"Public","Great Lakes",0.8275,24,21,21,23418,11868,80118,0.6112349009,0.881699981689453,0.0638999986648559,0.0403999996185302,0.0144000005722045,0.489641232946,0.547545485754,19500,42800
"492","Grand View University","Des Moines","IA",1731,"Private","Plains",0.9198,21,18,18,37623,13220,57978,0.5456238361,0.912099990844726,0.034300000667572,0.0359999990463256,0.0194000005722045,0.533112582781,0.604904632153,17750,43200
"494","Green Mountain College","Poultney","VT",425,"Private","New England",0.7158,21,17,17,50425,15513,57006,0.5862068966,0.898899993896484,0.0469999980926513,0.0419999980926513,0.0194000005722045,0.432098765432,0.543307086614,17500,30300
"495","Greensboro College","Greensboro","NC",755,"Private","South East",0.4446,19,16,16,41128,11511,55593,0.4420880914,0.761600036621093,0.181900005340576,0.0442000007629394,0.0183000004291534,0.236842105263,0.424836601307,12500,36900
"496","Greenville University","Greenville","IL",938,"Private","Great Lakes",0.4839,21,18,18,39165,11636,50562,0.4470989761,0.892799987792968,0.0667000007629394,0.0332999992370605,0.0114999997615814,0.37,0.614942528736,15750,36800
"497","Grinnell College","Grinnell","IA",1683,"Private","Plains",0.2438,32,30,30,65814,20369,101979,0.5348837209,0.793300018310547,0.0971000003814697,0.0840999984741211,0.04,0.741379310345,0.837209302326,15000,49100
"501","Gwynedd Mercy University","Gwynedd Valley","PA",1943,"Private","Mid East",0.92,21,18,18,46538,18197,61119,0.7764326069,0.803899993896484,0.130500001907348,0.0351999998092651,0.0339000010490417,0.417647058824,0.491002570694,20387,54300
"503","Hamline University","Saint Paul","MN",2077,"Private","Plains",0.6715,24,20,20,49502,17402,69057,0.6320072333,0.874499969482422,0.0461999988555908,0.0369000005722045,0.0341000008583068,0.590361445783,0.608796296296,18998,49200
"508","Hanover College","Hanover","IN",1099,"Private","Great Lakes",0.7934,25,22,22,50450,12231,70236,0.5308641975,0.906100006103515,0.0482000017166137,0.0270000004768371,0.0190999996662139,0.6875,0.717277486911,19500,46400
"509","Hardin-Simmons University","Abilene","TX",1719,"Private","South West",0.842,21,18,18,38708,12188,65943,0.5303797468,0.82370002746582,0.0582999992370605,0.170100002288818,0.0180999994277954,0.367816091954,0.47465437788,15750,43300
"510","Harding University","Searcy","AR",3953,"Private","South East",0.7462,26,22,22,29827,14806,67257,0.5682910089,0.845299987792968,0.0889999961853027,0.0573000001907348,0.0182000005245208,0.528150134048,0.641129032258,20500,40900
"513","Hartwick College","Oneonta","NY",1165,"Private","Mid East",0.8334,24,21,21,57251,22425,70776,0.5712,0.857799987792968,0.0698999977111816,0.0619999980926513,0.0242000007629394,0.502994011976,0.565891472868,21500,45800
"514","Harvard University","Cambridge","MA",7582,"Private","New England",0.0473,34,33,33,71135,33767,184356,0.5015384615,0.740800018310547,0.102799997329711,0.119099998474121,0.0740000009536743,0.816239316239,0.798449612403,12500,89700
"516","Hastings College","Hastings","NE",962,"Private","Plains",0.642,22,19,19,42551,8567,59130,0.4659300184,0.930800018310547,0.0152999997138977,0.0555999994277954,0.0110000002384185,0.393700787402,0.517857142857,16752,44400
"518","Hawaii Pacific University","Honolulu","HI",3160,"Private","Far West",0.7513,23,19,19,41216,18044,77193,0.6944190302,0.461599998474121,0.0501000022888183,0.0953999996185302,0.273700008392334,0.376623376623,0.409893992933,12750,49900
"519","Heidelberg University","Tiffin","OH",1044,"Private","Great Lakes",0.7308,22,19,19,42734,13103,60678,0.4256965944,0.908000030517578,0.0594999980926513,0.0266000008583068,0.0085000002384185,0.371541501976,0.548611111111,19500,39300
"520","Henderson State University","Arkadelphia","AR",2996,"Public","South East",0.9055,22,19,19,20429,3495,60327,0.5543415756,0.787900009155273,0.164799995422363,0.0430000019073486,0.0076999998092651,0.243534482759,0.348949919225,12350,35700
"521","Hendrix College","Conway","AR",1192,"Private","South East",0.7217,30,27,27,59901,10750,69372,0.505952381,0.81620002746582,0.117700004577636,0.0555999994277954,0.0200999999046325,0.622448979592,0.638655462185,20043,39700
"527","High Point University","High Point","NC",4498,"Private","South East",0.7695,25,22,22,50740,24204,68715,0.6333819242,0.762200012207031,0.179699993133544,0.0503999996185302,0.0179999995231628,0.083032490975,0.101736972705,19000,39000
"530","Hiram College","Hiram","OH",926,"Private","Great Lakes",0.5761,22,18,18,46975,16145,56007,0.4861660079,0.859100036621093,0.105,0.021800000667572,0.0125999999046325,0.483870967742,0.613861386139,22500,42700
"531","Hobart William Smith Colleges","Geneva","NY",2206,"Private","Mid East",0.5717,28,25,25,69775,27795,85518,0.5119680851,0.848499984741211,0.0717999982833862,0.0638999986648559,0.0298000001907348,0.687861271676,0.811827956989,25000,53500
"533","Hofstra University","Hempstead","NY",6616,"Private","Mid East",0.632,27,24,24,58126,27414,121518,0.5923831071,0.774899978637695,0.114300003051757,0.0980000019073486,0.0465000009536743,0.535398230088,0.601918465228,18523,53100
"535","Holy Cross College","Notre Dame","IN",498,"Private","Great Lakes",0.8827,28,23,23,43289,13805,47367,0.4013157895,0.849199981689453,0.0757999992370605,0.0567999982833862,0.0280999994277954,0.415584415584,0.363636363636,12000,39900
"536","Holy Family University","Philadelphia","PA",1903,"Private","Mid East",0.7198,20,18,18,36078,15958,62991,0.7587155963,0.787099990844726,0.125299997329711,0.0596000003814697,0.0383999991416931,0.515384615385,0.589873417722,20000,52700
"537","Holy Names University","Oakland","CA",626,"Private","Far West",0.7004,20,17,17,55758,16036,72414,0.6666666667,0.490400009155273,0.158000001907348,0.227999992370605,0.167000007629394,0.435643564356,0.467661691542,18750,50800
"539","Hope College","Holland","MI",3046,"Private","Great Lakes",0.7561,26,23,23,45252,19319,75303,0.5895153314,0.898899993896484,0.0359999990463256,0.0467000007629394,0.0223000001907348,0.651877133106,0.764075067024,23250,46200
"540","Hope International University","Fullerton","CA",743,"Private","Far West",0.2945,21,19,19,42424,12251,41238,0.5436893204,0.680599975585937,0.0496999979019165,0.274400005340576,0.0830000019073486,0.223021582734,0.338624338624,14858,36000
"542","Houston Baptist University","Houston","TX",2311,"Private","South West",0.7002,23,20,20,41722,13242,65034,0.6459016393,0.597799987792968,0.19,0.229799995422363,0.0828999996185302,0.328828828829,0.411027568922,13055,45800
"543","Howard Payne University","Brownwood","TX",895,"Private","South West",0.5793,21,18,18,39386,12821,52326,0.3906705539,0.800699996948242,0.0757000017166137,0.215100002288818,0.0147000002861022,0.315789473684,0.554054054054,10575,37600
"544","Howard University","Washington","DC",6166,"Private","Mid East",0.3159,25,22,22,43201,15476,85689,0.7177579365,0.45,0.421699981689453,0.107799997329711,0.0448999977111816,0.44918699187,0.58679245283,22500,49200
"546","Humboldt State University","Arcata","CA",7300,"Public","Far West",0.7679,21,18,18,24382,4192,86418,0.5871915719,0.742600021362304,0.0457999992370605,0.177600002288818,0.0540999984741211,0.488687782805,0.50580270793,14000,36600
"547","Huntingdon College","Montgomery","AL",1078,"Private","South East",0.5841,22,19,19,35685,11149,61290,0.4704142012,0.731999969482422,0.236700000762939,0.0190999996662139,0.0093000000715255,0.379807692308,0.594285714286,16000,39900
"548","Huntington University","Huntington","IN",981,"Private","Great Lakes",0.8319,23,19,19,36938,12508,58563,0.6627078385,0.947399978637695,0.0225,0.0225999999046325,0.0075999999046325,0.546391752577,0.523255813953,23000,36200
"553","Illinois Institute of Technology","Chicago","IL",2924,"Private","Great Lakes",0.5818,29,26,26,60112,20812,111564,0.3001132503,0.756800003051757,0.10369999885559,0.119399995803833,0.0561999988555908,0.584415584416,0.590476190476,21531,69100
"554","Illinois State University","Normal","IL",18044,"Public","Great Lakes",0.8918,23,20,20,28929,10553,74412,0.5624349636,0.847900009155273,0.0814999961853027,0.0601999998092651,0.0300999999046325,0.59837398374,0.686274509804,15500,47100
"555","Illinois Wesleyan University","Bloomington","IL",1686,"Private","Great Lakes",0.5855,27,24,24,59482,20874,74745,0.5227272727,0.835999984741211,0.0807999992370605,0.0615999984741211,0.0411999988555908,0.739726027397,0.779661016949,25638,59100
"556","Immaculata University","Immaculata","PA",1285,"Private","Mid East",0.8076,25,21,21,44472,16308,44505,0.7518037518,0.804300003051757,0.134300003051757,0.0415000009536743,0.0270000004768371,0.560344827586,0.658536585366,21724,50600
"557","Indiana Institute of Technology","Fort Wayne","IN",1524,"Private","Great Lakes",0.6318,21,18,18,39903,6577,62676,0.6610447028,0.813600006103515,0.134099998474121,0.0419999980926513,0.0125999999046325,0.140625,0.12,9500,42700
"559","Indiana State University","Terre Haute","IN",10348,"Public","Great Lakes",0.8991,20,16,16,21619,5681,67095,0.5856593682,0.886500015258789,0.0784999990463257,0.0265000009536743,0.0091000002622604,0.351181102362,0.373902867174,12500,39000
"560","Indiana University-Bloomington","Bloomington","IN",32991,"Public","Great Lakes",0.7691,28,24,24,24326,18261,94203,0.5315707274,0.880800018310547,0.0673000001907348,0.0355999994277954,0.0208999991416931,0.58382726503,0.614503816794,17000,47700
"561","Indiana University-East","Richmond","IN",3028,"Public","Great Lakes",0.6488,21,17,17,15674,7260,59994,0.6784677887,0.951699981689453,0.0273000001907348,0.0108000004291534,0.0040000000596046,0.334437086093,0.422556390977,12970,31500
"562","Indiana University-Kokomo","Kokomo","IN",2730,"Public","Great Lakes",0.7999,21,19,19,15444,6736,56484,0.6779769526,0.925299987792968,0.04,0.0248000001907348,0.0079000002145767,0.274509803922,0.347905282332,11000,36200
"563","Indiana University-Northwest","Gary","IN",3380,"Public","Great Lakes",0.7961,21,18,18,13960,6892,64467,0.7057842047,0.712600021362304,0.229200000762939,0.0830000019073486,0.0075,0.191037735849,0.240740740741,12500,36300
"564","Indiana University-Purdue University-Indianapolis","Indianapolis","IN",20651,"Public","Great Lakes",0.8112,23,19,19,20704,11604,76608,0.609940853,0.848899993896484,0.108599996566772,0.0304999995231628,0.013400000333786,0.341760722348,0.404185351271,14287,42500
"565","Indiana University-South Bend","South Bend","IN",4603,"Public","Great Lakes",0.819,20,17,17,16231,6586,57645,0.6282157676,0.859100036621093,0.0796000003814697,0.0538999986648559,0.010900000333786,0.19120458891,0.247120418848,11532,34900
"566","Indiana University-Southeast","New Albany","IN",4555,"Public","Great Lakes",0.8508,20,17,17,15838,6296,62586,0.6458863444,0.906999969482422,0.0675,0.0146000003814697,0.0063999998569488,0.254606365159,0.289351851852,11584,37900
"567","Indiana University of Pennsylvania-Main Campus","Indiana","PA",9069,"Public","Mid East",0.93,20,17,17,26734,9792,88947,0.5809192739,0.897300033569336,0.0732000017166137,0.0166999995708465,0.0117999994754791,0.418079096045,0.519198664441,20500,40800
"568","Indiana Wesleyan University-Marion","Marion","IN",2647,"Private","Great Lakes",0.6829,24,21,21,37595,13968,62505,0.7298892989,0.869700012207031,0.090600004196167,0.0276999998092651,0.0121000003814697,0.421101774043,0.478017241379,16667,49900
"579","Iona College","New Rochelle","NY",3005,"Private","Mid East",0.8816,23,20,20,51146,20002,88263,0.5297699594,0.729599990844726,0.129899997711181,0.148599996566772,0.0463000011444091,0.562711864407,0.662436548223,18500,56100
"580","Iowa State University","Ames","IA",29248,"Public","Plains",0.906,25,22,22,20476,10827,100557,0.4624236966,0.930500030517578,0.025,0.0324000000953674,0.0173000001907348,0.586768271562,0.67387755102,18250,50700
"581","Iowa Wesleyan University","Mount Pleasant","IA",594,"Private","Plains",0.5802,21,19,19,39393,10588,53208,0.460916442,0.865400009155273,0.0742000007629394,0.0607000017166137,0.0174000000953674,0.194805194805,0.483606557377,12000,39500
"583","Jackson State University","Jackson","MS",5305,"Public","South East",0.6893,20,17,17,22356,5186,65340,0.6464781217,0.389099998474121,0.579199981689453,0.0272000002861022,0.0087000000476837,0.271739130435,0.386602870813,23000,30000
"584","Jacksonville State University","Jacksonville","AL",6394,"Public","South East",0.543,23,19,19,20050,6509,64098,0.5886792453,0.769599990844726,0.197000007629394,0.0266000008583068,0.006700000166893,0.30497382199,0.411974977659,15999,35800
"585","Jacksonville University","Jacksonville","FL",2838,"Private","South East",0.8993,24,21,21,52073,15287,68553,0.664921466,0.765199966430664,0.162600002288818,0.07,0.0244000005722045,0.435643564356,0.48730964467,15230,50500
"586","James Madison University","Harrisonburg","VA",19679,"Public","South East",0.7113,26,23,23,26007,10289,78714,0.6132253203,0.816399993896484,0.111099996566772,0.0415999984741211,0.0365000009536743,0.710780017528,0.789876397881,17419,56600
"588","John Brown University","Siloam Springs","AR",1575,"Private","South East",0.7715,27,23,23,38834,11732,63441,0.6155844156,0.858399963378906,0.0501000022888183,0.0651999998092651,0.0155999994277954,0.532608695652,0.609154929577,18025,45800
"589","John Carroll University","University Heights","OH",3013,"Private","Great Lakes",0.8325,25,22,22,54358,15430,81306,0.4663299663,0.862799987792968,0.0959000015258789,0.0273000001907348,0.0170000004768371,0.668711656442,0.759075907591,23250,53800
"590","Johns Hopkins University","Baltimore","MD",5567,"Private","Mid East",0.1148,34,33,33,69863,26601,119988,0.517218543,0.756999969482422,0.124600000381469,0.0773999977111816,0.0607000017166137,0.857831325301,0.811700182815,13500,73200
"596","Johnson C Smith University","Charlotte","NC",1480,"Private","South East",0.4583,16,14,14,32065,11618,57645,0.5860962567,0.471100006103515,0.43310001373291,0.0822999954223632,0.0273000001907348,0.259911894273,0.326530612245,19305,28400
"597","Johnson University","Knoxville","TN",748,"Private","South East",0.7126,23,20,20,24836,11158,48636,0.4321223709,0.901100006103515,0.0634999990463257,0.0236999988555908,0.0098000001907348,0.272727272727,0.374384236453,16370,29800
"598","Judson University","Elgin","IL",999,"Private","Great Lakes",0.7101,22,19,19,40849,10505,57717,0.6131907308,0.853600006103515,0.0546999979019165,0.106099996566772,0.0272000002861022,0.435897435897,0.396648044693,19500,42800
"603","Kansas Wesleyan University","Salina","KS",650,"Private","Plains",0.4681,23,20,20,42545,12671,49977,0.4240631164,0.851500015258789,0.0455999994277954,0.101599998474121,0.0207999992370605,0.405940594059,0.491666666667,12878,40300
"604","Kean University","Union","NJ",11679,"Public","Mid East",0.8598,20,17,17,24966,9302,77724,0.6236462094,0.646500015258789,0.19329999923706,0.160499992370605,0.0665000009536743,0.418386491557,0.486866218693,17751,46100
"605","Keene State College","Keene","NH",3416,"Public","New England",0.8136,21,18,18,26211,10945,83394,0.5665236052,0.950100021362304,0.0137000000476837,0.0204999995231628,0.0147000002861022,0.543520309478,0.622036262204,20500,42400
