"","Name","City","State","Enrollment","Private","Region","Adm_Rate","ACT_median","ACT_Q1","ACT_Q3","Cost","Net_Tuition","Avg_Fac_Salary","PercentFemale","PercentWhite","PercentBlack","PercentHispanic","PercentAsian","FourYearComp_Males","FourYearComp_Females","Debt_median","Salary10yr_median"
"1369","University of Indianapolis","Indianapolis","IN",4487,"Private","Great Lakes",0.6891,22,19,19,41632,14687,67509,0.6753185465,0.870800018310547,0.0877999973297119,0.0324000000953674,0.0117999994754791,0.358823529412,0.462420382166,18500,40600
"1370","University of Iowa","Iowa City","IA",23410,"Public","Plains",0.8267,26,23,23,22607,14547,91440,0.5623043206,0.915800018310547,0.0302999997138977,0.0376999998092651,0.0224000000953674,0.608630952381,0.65725541694,16173,51900
"1371","University of Jamestown","Jamestown","ND",877,"Private","Plains",0.615,22,19,19,32966,10212,57834,0.4954751131,0.927900009155273,0.0093000000715255,0.0233999991416931,0.0100999999046325,0.289855072464,0.474137931034,16750,43800
"1372","University of Kansas","Lawrence","KS",19135,"Public","Plains",0.9171,26,23,23,24996,12624,91404,0.547597184,0.873000030517578,0.0517999982833862,0.0532000017166137,0.0231999993324279,0.505344418052,0.573196986006,15000,48800
"1373","University of Kentucky","Lexington","KY",21746,"Public","South East",0.9448,26,23,23,28711,12780,96192,0.5687747036,0.891100006103515,0.0732000017166137,0.0206999993324279,0.0137000000476837,0.517827756445,0.560372960373,16250,45100
"1374","University of La Verne","La Verne","CA",5098,"Private","Far West",0.5089,23,20,20,54445,20508,83376,0.6243868255,0.592599983215332,0.0657000017166137,0.387000007629394,0.0856999969482422,0.482200647249,0.567287784679,21693,49200
"1375","University of Louisiana at Lafayette","Lafayette","LA",14245,"Public","South East",0.5599,25,21,21,20807,9602,75033,0.6164128596,0.691600036621093,0.272800006866455,0.0239000010490417,0.0128999996185302,0.382556987116,0.413646055437,12444,39900
"1376","University of Louisiana at Monroe","Monroe","LA",6293,"Public","South East",0.7101,23,20,20,20052,8082,66348,0.6975505857,0.644899978637695,0.328400001525878,0.0187999999523162,0.0081999999284744,0.345814977974,0.379114642452,12870,37500
"1377","University of Louisville","Louisville","KY",14488,"Public","South East",0.7243,26,22,22,26140,11960,78516,0.5513169846,0.846500015258789,0.117100000381469,0.0202999997138977,0.0123000001907348,0.389380530973,0.480132450331,13061,41800
"1379","University of Maine","Orono","ME",8861,"Public","New England",0.9234,25,22,22,23547,11226,85374,0.482962963,0.960199966430664,0.0094999998807907,0.0124000000953674,0.0085000002384185,0.496780128795,0.515377446412,18500,42500
"1382","University of Maine at Fort Kent","Fort Kent","ME",1033,"Public","New England",0.9502,19,16,16,17604,6098,60300,0.7434094903,0.960999984741211,0.0138999998569488,0.0101999998092651,0.0068000000715255,0.317647058824,0.413265306122,12909,33400
"1385","University of Mary","Bismarck","ND",2169,"Private","Plains",0.779,23,20,20,28472,16959,72279,0.6509528586,0.889499969482422,0.01,0.0259999990463256,0.006700000166893,0.369458128079,0.519774011299,16349,48000
"1386","University of Mary Hardin-Baylor","Belton","TX",3362,"Private","South West",0.8668,23,20,20,39824,18978,71226,0.6331224842,0.751800003051757,0.11579999923706,0.171399993896484,0.0230999994277954,0.335051546392,0.523719165085,18500,44200
"1387","University of Mary Washington","Fredericksburg","VA",4371,"Public","South East",0.7175,26,22,22,26308,6645,73962,0.6853146853,0.810899963378906,0.113999996185302,0.045,0.0346000003814697,0.566176470588,0.65641025641,15000,51400
"1388","University of Maryland-Baltimore County","Baltimore","MD",11156,"Public","Mid East",0.5794,27,24,24,24522,9864,88821,0.4939527213,0.682600021362304,0.221299991607666,0.0469000005722045,0.0528000020980835,0.501779359431,0.562862669246,16500,55000
"1389","University of Maryland-College Park","College Park","MD",30184,"Public","Mid East",0.4716,31,29,29,25919,14839,117405,0.508934661,0.678199996948242,0.204400005340576,0.0651999998092651,0.0636999988555908,0.686265060241,0.757757757758,15750,62900
"1391","University of Maryland Eastern Shore","Princess Anne","MD",2538,"Public","Mid East",0.5411,18,15,15,24376,4129,73818,0.5885969816,0.447799987792968,0.469000015258789,0.0565999984741211,0.0323000001907348,0.272108843537,0.397415185784,17500,36600
"1393","University of Massachusetts-Amherst","Amherst","MA",23202,"Public","New England",0.5992,29,26,26,30013,13157,110286,0.515474436,0.875199966430664,0.0438999986648559,0.0532000017166137,0.0334999990463256,0.621118012422,0.665241556221,20600,51400
"1395","University of Massachusetts-Dartmouth","North Dartmouth","MA",6649,"Public","New England",0.7754,23,19,19,27142,10480,97857,0.5080886759,0.890199966430664,0.0369000005722045,0.0384999990463256,0.0211999988555908,0.430315361139,0.501594048884,19500,48200
"1396","University of Massachusetts-Lowell","Lowell","MA",13385,"Public","New England",0.7183,27,24,24,28201,13280,104454,0.4343958488,0.848499984741211,0.0363000011444091,0.0826000022888183,0.0480999994277954,0.4957002457,0.558697514996,18926,53300
