"date","age","team","opp","result","mp","fg","fga","fgp","three","threeatt","threep","ft","fta","ftp","orb","drb","trb","ast","stl","blk","tov","pts"
"12/16/1989","26-302","CHI","CHH","W","41:00:00",13,28,0.464,0,1,0,7,10,0.7,2,7,9,7,2,2,0,33
"1/13/1998","34-330","CHI","SEA","W","38:00:00",12,27,0.444,0,2,0,16,18,0.889,1,0,1,2,0,0,1,40
"12/7/1991","28-293","CHI","PHI","L","41:00:00",12,25,0.48,0,1,0,8,10,0.8,3,11,14,9,3,1,4,32
"4/3/2003","40-045","WAS","ATL","L","43:00:00",10,23,0.435,0,1,0,2,2,1,1,13,14,7,2,0,0,22
"1/6/1990","26-323","CHI","MIL","L","41:00:00",13,23,0.565,3,7,0.429,6,7,0.857,1,8,9,5,5,1,6,35
"2/18/1996","33-001","CHI","IND","W","42:00:00",16,29,0.552,3,4,0.75,9,10,0.9,4,1,5,7,3,2,3,44
"1/11/1992","28-328","CHI","MIA","W","39:00:00",10,19,0.526,0,0,NA,10,10,1,0,6,6,7,1,1,1,30
"12/2/1989","26-288","CHI","MIA","W","36:00:00",11,16,0.688,0,0,NA,14,15,0.933,2,3,5,7,0,1,5,36
"12/17/2002","39-303","WAS","ATL","W","38:00:00",12,18,0.667,0,0,NA,6,6,1,0,3,3,2,0,0,1,30
"3/23/1985","22-034","CHI","DAL","W","43:00:00",5,17,0.294,0,0,NA,10,10,1,3,6,9,10,2,1,1,20
"1/28/1987","23-345","CHI","BOS","L","37:00:00",11,23,0.478,0,2,0,5,8,0.625,1,3,4,4,1,1,6,27
"2/20/1989","26-003","CHI","POR","W","36:00:00",13,22,0.591,0,0,NA,7,8,0.875,2,4,6,7,1,0,4,33
"4/1/1987","24-043","CHI","IND","L","41:00:00",10,25,0.4,1,3,0.333,5,6,0.833,2,7,9,7,5,3,3,26
"4/16/1993","30-058","CHI","MIL","W","35:00:00",15,25,0.6,0,3,0,17,21,0.81,1,6,7,5,5,0,1,47
"4/5/1986","23-047","CHI","ATL","W","31:00:00",10,21,0.476,2,3,0.667,8,9,0.889,1,2,3,3,1,1,4,30
