"","Claim_Number","Year","Month","Day","Airline_Name","Airport_Code","Claim_Type","Claim_Site","Item","Claim_Amount","Status","Close_Amount"
"7951","2004090000000",2004,8,"01 00:00:00","USA 3000 (U5)","MSP","Passenger Property Loss","Other","Luggage (all types including footlockers)",1421,"Denied",0
"5410","2004070000000",2004,5,"03 00:00:00","UAL","JFK","Passenger Property Loss","Checked Baggage","Other",107.17,"Approved",107.17
"27565","2005110000000",2005,10,"11 00:00:00","Northwest Airlines","PHX","Passenger Property Loss","Checkpoint","Other",29.99,"Denied",0
"850","0226568M",2004,1,"14 00:00:00","UAL","ORD","Property Damage","Checked Baggage","Luggage (all types including footlockers)",65,"Settled",37.5
"7815","2004090000000",2004,7,"04 00:00:00","UAL","PHL","Passenger Property Loss","Checked Baggage","Jewelry - Fine",4300,"Settled",1333
"22325","2005070000000",2005,5,"31 00:00:00","Northwest Airlines","PHL","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",48,"Denied",0
"7809","2004090000000",2004,7,"21 00:00:00","Continental Airlines","FOE","Property Damage","Checkpoint","Eyeglasses - (including contact lenses)",425,"Settled",261.25
"25860","2005090000000",2005,5,"27 00:00:00","Continental Airlines","EWR","Property Damage","Checked Baggage","Luggage (all types including footlockers)",186.54,"Settled",50
"13235","2005010000000",2004,12,"13 00:00:00","Delta Air Lines","LAX","Passenger Property Loss","Checkpoint","Other",389.03,"Approved",389.03
"28852","2005120000000",2005,11,"29 00:00:00","American Airlines","VPS","Property Damage","Checked Baggage","Luggage (all types including footlockers)",75,"Denied",0
"19770","2005050000000",2005,4,"26 00:00:00","Continental Airlines","PHX","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",500,"Denied",0
"6399","2004080000000",2004,6,"10 00:00:00","Delta Air Lines","CVG","Passenger Theft","Checked Baggage","Other",10.64,"Approved",10.64
"32038","2007110000000",2004,1,"31 00:00:00","American Airlines","LGA","Property Damage","Checked Baggage","Luggage (all types including footlockers)",103.95,"Denied",0
"16672","2005030000000",2005,2,"01 00:00:00","Continental Airlines","SEA","Passenger Property Loss","Checked Baggage","Other",6.45,"Denied",0
"13392","2005010000000",2004,12,"27 00:00:00","UAL","JFK","Passenger Property Loss","Checked Baggage","Computer - Laptop",1800,"Denied",0
"23641","2005080000000",2005,7,"01 00:00:00","American Airlines","MIA","Property Damage","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",75,"Denied",0
"23684","2005080000000",2005,5,"24 00:00:00","American Airlines","PVD","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",132,"Approved",132
"9285","2004100000000",2004,8,"26 00:00:00","UAL","DEN","Passenger Property Loss","Checkpoint","Jewelry - Fine",300.1,"Denied",0
"22038","2005070000000",2005,6,"23 00:00:00","AirTran Airlines","BMI","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",282.14,"Denied",0
"26452","2005100000000",2005,9,"03 00:00:00","American Airlines","RNO","Property Damage","Checked Baggage","Other",100,"Approved",100
"18708","2005050000000",2005,4,"24 00:00:00","American Airlines","JFK","Property Damage","Checked Baggage","Other",250,"Approved",250
"2161","2004050000000",2004,2,"25 00:00:00","USAir","PHL","Property Damage","Checked Baggage","Luggage (all types including footlockers)",50,"Approved",50
"20141","2005060000000",2005,4,"21 00:00:00","USAir","SEA","Passenger Property Loss","Checkpoint","Jewelry - Fine",1670,"Denied",0
"4707","2004060000000",2004,2,"28 00:00:00","Hawaiian Airlines","HNL","Property Damage","Checkpoint","Cameras - Digital",149.95,"Approved",149.95
"30868","2006010000000",2005,12,"22 00:00:00","American Airlines","ORD","Property Damage","Checked Baggage","Luggage (all types including footlockers)",326.66,"Denied",0
"15658","2005030000000",2005,1,"30 00:00:00","American Airlines","DFW","Passenger Property Loss","Checked Baggage","Locks",19.95,"Approved",19.95
"638","0223213M",2004,1,"24 00:00:00","Southwest Airlines","OAK","Passenger Property Loss","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",36,"Approved",36
"28648","2005120000000",2005,11,"19 00:00:00","Continental Airlines","IAH","Passenger Property Loss","Checked Baggage","Other",10,"Approved",10
"25053","2005090000000",2005,4,"04 00:00:00","UAL","PHL","Property Damage","Checked Baggage","Luggage (all types including footlockers)",424.2,"Denied",0
"26185","2005100000000",2005,8,"16 00:00:00","Other","LAX","Passenger Property Loss","Checked Baggage","Cameras - Digital",744.85,"Settled",142.88
"14597","2005030000000",2004,12,"08 00:00:00","Southwest Airlines","LAS","Passenger Property Loss","Checked Baggage","Cameras - Digital",450.98,"Approved",450.98
"5675","2004070000000",2004,5,"23 00:00:00","Air Canada","MIA","Property Damage","Checkpoint","Locks",225.99,"Denied",0
"15953","2005030000000",2005,1,"25 00:00:00","Continental Airlines","EWR","Passenger Property Loss","Checked Baggage","Other",670,"Denied",0
"25406","2005090000000",2004,11,"19 00:00:00","American Airlines","MSP","Property Damage","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",151.99,"Denied",0
"16327","2005030000000",2005,2,"19 00:00:00","USAir","GSP","Passenger Property Loss","Checked Baggage","Other",50.94,"Denied",0
"3406","2004050000000",2004,2,"13 00:00:00","Delta Air Lines","LEX","Property Damage","Checked Baggage","Other",50,"Denied",0
"25731","2005090000000",2005,8,"21 00:00:00","Delta Air Lines","LAS","Passenger Property Loss","Checked Baggage","Jewelry - Fine",28700,"Denied",0
"3491","2004060000000",2004,2,"07 00:00:00","Other","MIA","Passenger Property Loss","Checked Baggage","Other",700,"Denied",0
"14442","2005020000000",2005,1,"12 00:00:00","AirTran Airlines","BUF","Passenger Property Loss","Checked Baggage","Cameras - Digital",415,"Denied",0
"11324","2004120000000",2004,6,"12 00:00:00","American Airlines","LGA","Property Damage","Checked Baggage","Other",90,"Approved",90
"23125","2005080000000",2005,7,"17 00:00:00","Delta Air Lines","CMH","Property Damage","Checked Baggage","Luggage (all types including footlockers)",185,"Approved",185
"23455","2005080000000",2005,7,"27 00:00:00","American West","ELP","Passenger Property Loss","Checked Baggage","Luggage (all types including footlockers)",15,"Approved",15
"22217","2005070000000",2005,5,"20 00:00:00","American Airlines","LAX","Passenger Property Loss","Checked Baggage","Computer - Laptop",1851.5,"Denied",0
"22351","2005070000000",2005,5,"27 00:00:00","Continental Airlines","EWR","Passenger Property Loss","Checked Baggage","Cameras - Digital",1194.8,"Denied",0
"31458","2006030000000",2005,9,"16 00:00:00","Air France","DEN","Property Damage","Checked Baggage","Clothing - Shoes; belts; accessories; etc.",67.25,"Denied",0
"24506","2005080000000",2005,8,"09 00:00:00","Southwest Airlines","MDW","Property Damage","Checked Baggage","Other",17,"Denied",0
"20430","2005060000000",2005,5,"08 00:00:00","USAir","SJU","Passenger Property Loss","Checked Baggage","Other",33.48,"Denied",0
"26548","2005100000000",2005,8,"05 00:00:00","Northwest Airlines","LSE","Passenger Property Loss","Checked Baggage","Jewelry - Fine",200,"Denied",0
"8087","2004090000000",2004,7,"18 00:00:00","USAir","BUF","Property Damage","Checked Baggage","Luggage (all types including footlockers)",35.44,"Approved",35.44
"5229","2004060000000",2004,5,"08 00:00:00","UAL","ORD","Passenger Property Loss","Checked Baggage","Cameras - Digital",167.52,"Settled",83.76
"21009","2005060000000",2005,5,"31 00:00:00","Other","SNA","Passenger Property Loss","Checked Baggage","Other",745,"Denied",0
