Analyze,Reduced,Ignore,Discard,DaqPath,DaqName,Date
,X,,,Frequent\F_025_POST,3_RuralRedLight_20190529121743.daq,5/29/2019 23:20
,X,,,Frequent\F_026_POST,2_RuralRedLight_20190529165835.daq,5/29/2019 23:30
,X,,,Frequent\F_027_POST,1_RuralRedLight_20190530142921.daq,5/30/2019 23:19
,X,,,Control\C_001__PRE,4_RedLight_20180905095209.daq,9/5/2018 23:13
,X,,,Occasional\O_001_POST,3_RedLight_20180917120237.daq,9/17/2018 23:05
,X,,,Frequent\F_001_POST,3_RedLight_20181003125015.daq,10/3/2018 23:04
,X,,,Control\C_002_POST,4_RedLight_20180912120627.daq,9/12/2018 23:06
,X,,,Frequent\F_002_POST,3_RedLight_20181004132639.daq,10/4/2018 23:06
,X,,,Occasional\O_002_POST,1_RedLight_20181015124920.daq,10/15/2018 23:04
,X,,,Control\C_003_POST,2_RedLight_20180914115529.daq,9/14/2018 23:05
,X,,,Frequent\F_003_POST,2_RedLight_20181010144830.daq,10/10/2018 23:04
,X,,,Occasional\O_003_POST,3_RedLight_20181025143234.daq,10/26/2018 15:38
,X,,,Control\C_004__PRE,4_RedLight_20180928115614.daq,9/28/2018 23:11
,X,,,Frequent\F_004__PRE,3_RedLight_20181018123846.daq,10/26/2018 15:25
,X,,,Occasional\O_004__PRE,4_RedLight_20181220101745.daq,12/20/2018 23:14
,X,,,Control\C_005__PRE,1_RedLight_20181008094643.daq,10/8/2018 23:09
,X,,,Frequent\F_005_POST,2_RedLight_20181019100432.daq,10/26/2018 15:28
,X,,,Occasional\O_005_POST,4_RedLight_20190118134511.daq,1/24/2019 23:28
,X,,,Control\C_006_POST,3_RedLight_20181026120150.daq,10/26/2018 15:10
,X,,,Frequent\F_006__PRE,3_RedLight_20181130115128.daq,11/30/2018 23:13
,X,,,Occasional\O_006__PRE,3_RedLight_20190124145147.daq,1/24/2019 23:42
,X,,,Frequent\F_007__PRE,4_RedLight_20181203103034.daq,12/3/2018 23:15
,X,,,Control\C_007__PRE,2_RedLight_20190131111257.daq,2/8/2019 23:13
,X,,,Occasional\O_007_POST,3_RedLight_20190211160725.daq,2/22/2019 0:09
,X,,,Frequent\F_008_POST,4_RedLight_20181206135931.daq,12/6/2018 23:08
,X,,,Control\C_008__PRE,2_RedLight_20190205104312.daq,2/8/2019 23:21
,X,,,Occasional\O_008__PRE,4_RedLight_20190212141331.daq,2/22/2019 0:27
,X,,,Frequent\F_009__PRE,2_RedLight_20181212095941.daq,12/13/2018 23:11
,X,,,Control\C_009__PRE,3_RedLight_20190207134625.daq,2/8/2019 23:33
,X,,,Occasional\O_009_POST,2_RedLight_20190402171732.daq,4/2/2019 23:11
,X,,,Frequent\F_010_POST,4_RedLight_20190103123511.daq,1/3/2019 23:09
,X,,,Control\C_010_POST,4_RedLight_20190213122933.daq,2/21/2019 23:11
,X,,,Occasional\O_010__PRE,2_RedLight_20190406104220.daq,4/8/2019 23:48
,X,,,Frequent\F_011_POST,2_RedLight_20190111132025.daq,1/14/2019 23:05
,X,,,Control\C_011__PRE,4_RedLight_20190218095037.daq,2/21/2019 23:27
,X,,,Occasional\O_011__PRE,1_RedLight_20190412134727.daq,4/16/2019 23:29
,X,,,Frequent\F_012_POST,2_RedLight_20190122132506.daq,1/24/2019 23:08
,X,,,Control\C_012_POST,3_RedLight_20190218155506.daq,2/21/2019 23:31
,X,,,Occasional\O_012__PRE,3_RedLight_20190415093942.daq,4/16/2019 23:43
,X,,,Frequent\F_013_POST,3_RedLight_20190124132701.daq,1/24/2019 23:18
,X,,,Control\C_013_POST,2_RedLight_20190220152901.daq,2/21/2019 23:38
,X,,,Occasional\O_013_POST,3_RedLight_20190416111210.daq,4/16/2019 23:46
,X,,,Control\C_014__PRE,3_RedLight_20190221092730.daq,2/21/2019 23:53
,X,,,Frequent\F_014_POST,1_RedLight_20190301125137.daq,3/1/2019 23:25
,X,,,Occasional\O_014_POST,3_RedLight_20190416152107.daq,4/16/2019 23:58
,X,,,Control\C_015_POST,2_RedLight_20190221151131.daq,2/21/2019 23:56
,X,,,Frequent\F_015_POST,3_RedLight_20190321171902.daq,3/21/2019 23:12
,X,,,Occasional\O_015_POST,3_RedLight_20190418130344.daq,4/19/2019 23:17
,X,,,Control\C_016__PRE,1_RedLight_20190226101300.daq,2/26/2019 23:12
,X,,,Frequent\F_016__PRE,1_RedLight_20190408091347.daq,4/8/2019 23:27
,X,,,Occasional\O_016_POST,1_RedLight_20190418165730.daq,4/19/2019 23:24
,X,,,Control\C_017_POST,2_RedLight_20190227161558.daq,3/1/2019 23:10
,X,,,Frequent\F_017__PRE,2_RedLight_20190410124648.daq,4/11/2019 23:29
,X,,,Occasional\O_017__PRE,3_RedLight_20190419151253.daq,4/19/2019 23:42
,X,,,Frequent\F_018__PRE,2_RedLight_20190411153308.daq,4/11/2019 23:39
,X,,,Occasional\O_018_POST,4_RedLight_20190423152931.daq,5/1/2019 0:22
,X,,,Control\C_019_POST,1_RedLight_20190304144651.daq,3/4/2019 23:10
,X,,,Frequent\F_019__PRE,2_RedLight_20190430095301.daq,4/30/2019 23:19
,X,,,Occasional\O_019__PRE,1_RedLight_20190427102353.daq,5/1/2019 0:33
,X,,,Control\C_020_POST,3_RedLight_20190308132354.daq,3/8/2019 23:10
,X,,,Frequent\F_020_POST,4_RedLight_20190510174737.daq,5/16/2019 23:38
,X,,,Occasional\O_020__PRE,3_RedLight_20190516151129.daq,5/16/2019 23:52
,X,,,Control\C_021_POST,3_RedLight_20190312114443.daq,3/18/2019 23:11
,X,,,Frequent\F_021__PRE,1_RedLight_20190517144150.daq,5/17/2019 23:21
,X,,,Occasional\O_021_POST,3_RedLight_20190619191148.daq,6/19/2019 23:21
,X,,,Control\C_022__PRE,1_RedLight_20190312141844.daq,3/18/2019 23:26
,X,,,Frequent\F_022_POST,1_RedLight_20190523153635.daq,5/27/2019 23:16
,X,,,Occasional\O_022__PRE,4_RedLight_20190627115516.daq,7/3/2019 23:18
,X,,,Control\C_023__PRE,2_RedLight_20190315132634.daq,3/18/2019 23:38
,X,,,Frequent\F_023__PRE,1_RedLight_20190524145101.daq,5/27/2019 23:31
,X,,,Occasional\O_023__PRE,1_RedLight_20190711112939.daq,7/15/2019 23:27
,X,,,Control\C_024_POST,2_RedLight_20190318114717.daq,3/18/2019 23:41
,X,,,Frequent\F_024_POST,4_RedLight_20190527112630.daq,5/27/2019 23:39
,X,,,Occasional\O_024__PRE,1_RedLight_20190718184646.daq,7/18/2019 23:27
,X,,,Control\C_025_POST,2_RedLight_20190318161504.daq,3/18/2019 23:51
,X,,,Frequent\F_025__PRE,3_RedLight_20190529103117.daq,5/29/2019 23:26
,X,,,Occasional\O_025_POST,3_RedLight_20190719143053.daq,7/23/2019 23:24
,X,,,Control\C_026_POST,3_RedLight_20190403111909.daq,4/8/2019 23:14
,X,,,Frequent\F_026__PRE,1_RedLight_20190529150241.daq,5/29/2019 23:33
,X,,,Occasional\O_026_POST,1_RedLight_20190723121301.daq,7/23/2019 23:33
,X,,,Control\C_027__PRE,1_RedLight_20190409132223.daq,4/11/2019 23:17
,X,,,Frequent\F_027__PRE,3_RedLight_20190530124413.daq,5/30/2019 23:27
,X,,,Occasional\O_027__PRE,2_RedLight_20190807103712.daq,8/7/2019 23:25
,X,,,Control\C_028_POST,3_RedLight_20190507151939.daq,5/16/2019 23:17
,X,,,Frequent\F_028__PRE,2_RedLight_20190531093413.daq,6/13/2019 23:37
,X,,,Occasional\O_028__PRE,3_RedLight_20190814091312.daq,8/14/2019 23:26
,X,,,Control\C_029__PRE,4_RedLight_20190509094001.daq,5/16/2019 23:33
