"Name","City","State","Enrollment","Private","Region","Adm_Rate","ACT_median","ACT_Q1","ACT_Q3","Cost","Net_Tuition","Avg_Fac_Salary","PercentFemale","PercentWhite","PercentBlack","PercentHispanic","PercentAsian","FourYearComp_Males","FourYearComp_Females","Debt_median","Salary10yr_median"
"Ripon College","Ripon","WI",787,"Private","Great Lakes",0.69,24,20,20,52216,15608,68049,0.4960422164,0.914599990844726,0.0308999991416931,0.0430999994277954,0.0177999997138977,0.576470588235,0.686274509804,22812,45500
"Rivier University","Nashua","NH",1376,"Private","New England",0.7261,NA,NA,NA,44453,11779,66150,0.7661498708,0.932300033569336,0.0139999997615814,0.0334999990463256,0.0232999992370605,0.555555555556,0.542483660131,19299,45400
"Roanoke College","Salem","VA",1981,"Private","South East",0.7249,25,22,22,58293,15783,69480,0.5968523002,0.8675,0.0852999973297119,0.0267000007629394,0.0216000008583068,0.625,0.669781931464,24250,44700
"Robert Morris University","Moon Township","PA",3979,"Private","Mid East",0.8413,25,21,21,44962,19074,106857,0.4867781975,0.897900009155273,0.0734999990463257,0.0129999995231628,0.0125999999046325,0.576068376068,0.597602739726,22617,47700
"Robert Morris University Illinois","Chicago","IL",1653,"Private","Great Lakes",0.634,NA,NA,NA,37711,17368,66825,0.4886251236,0.556699981689453,0.301200008392334,0.176900005340576,0.0278999996185302,0.341715976331,0.338541666667,15000,32300
"Roberts Wesleyan College","Rochester","NY",1329,"Private","Mid East",0.6461,24,20,20,43338,15707,58824,0.7517647059,0.86870002746582,0.0852999973297119,0.0335999989509582,0.013400000333786,0.471074380165,0.648902821317,19500,40900
"Rochester Institute of Technology","Rochester","NY",12886,"Private","Mid East",0.6602,30,27,27,54334,22053,94077,0.3531583265,0.86,0.0698999977111816,0.0528999996185302,0.0281999993324279,0.521789657176,0.659012629162,23000,62400
"Rochester University","Rochester Hills","MI",907,"Private","Great Lakes",1,20,17,17,30039,12666,52749,0.6624803768,0.779400024414062,0.169400005340576,0.0239000010490417,0.0211999988555908,0.347222222222,0.438095238095,15364,35300
"Rockford University","Rockford","IL",972,"Private","Great Lakes",0.4903,21,19,19,40569,15223,51561,0.5699658703,0.813000030517578,0.102299995422363,0.0922000026702881,0.0197000002861022,0.3875,0.611111111111,18750,45200
"Rockhurst University","Kansas City","MO",1579,"Private","Plains",0.6612,25,22,22,50180,16256,65313,0.6210045662,0.841100006103515,0.0990999984741211,0.046100001335144,0.0167999994754791,0.646706586826,0.713793103448,15734,50800
"Rocky Mountain College","Billings","MT",879,"Private","Rocky Mountains",0.5845,23,20,20,38639,14223,58500,0.517311609,0.853099975585937,0.0095999997854232,0.0419999980926513,0.0088999998569488,0.36301369863,0.427536231884,15999,38800
"Rocky Mountain College of Art and Design","Lakewood","CO",1051,"Private","Rocky Mountains",NA,NA,NA,NA,25620,17968,36459,0.6865889213,0.844700012207031,0.0341000008583068,0.138999996185302,0.0277999997138977,0.255319148936,0.265,16750,33000
"Roger Williams University","Bristol","RI",4347,"Private","New England",0.8609,NA,NA,NA,52139,19077,108315,0.5868392665,0.915400009155273,0.0276999998092651,0.0382999992370605,0.0235999989509582,0.648325358852,0.649411764706,19500,50500
"Rogers State University","Claremore","OK",3162,"Public","South West",NA,NA,NA,NA,19320,5847,47439,0.6272310046,0.756500015258789,0.0354999995231628,0.0302999997138977,0.0064999997615814,0.148063781321,0.214105793451,9500,34000
"Rollins College","Winter Park","FL",2571,"Private","South East",0.6664,NA,NA,NA,65487,19635,73134,0.6425,0.804199981689453,0.103999996185302,0.128400001525878,0.0279999995231628,0.68253968254,0.705501618123,21643,45700
"Roosevelt University","Chicago","IL",2377,"Private","Great Lakes",0.6485,24,21,21,43501,19253,75951,0.6615276804,0.627000007629394,0.234599990844726,0.140600004196167,0.0482999992370605,0.403225806452,0.469951923077,18000,43600
"Rose-Hulman Institute of Technology","Terre Haute","IN",2073,"Private","Great Lakes",0.682,31,28,28,65031,26939,99243,0.2859450727,0.89870002746582,0.0488000011444091,0.0349000000953674,0.0203999996185302,NA,NA,24834,80900
"Roseman University of Health Sciences","Henderson","NV",656,"Private","Far West",NA,NA,NA,NA,NA,43171,90846,0.7429378531,NA,NA,NA,NA,NA,NA,25000,NA
"Rosemont College","Rosemont","PA",544,"Private","Mid East",0.8866,20,16,16,33685,13160,50265,0.6376811594,0.578800010681152,0.317700004577636,0.0775,0.0423000001907348,0.291666666667,0.442857142857,17750,44700
"Rowan University","Glassboro","NJ",15755,"Public","Mid East",0.7272,24,20,20,31180,12155,78237,0.4875411378,0.795400009155273,0.116599998474121,0.0773000001907348,0.0336999988555908,0.568519968677,0.6519524618,16750,50000
"Rust College","Holly Springs","MS",846,"Private","South East",0.5322,NA,NA,NA,16490,10534,41103,0.5726618705,0.359500007629394,0.604300003051757,0.0321000003814697,0.0081999999284744,0.215909090909,0.221698113208,11717,24100
"Rutgers University-Camden","Camden","NJ",5618,"Public","Mid East",0.7138,20,17,17,26097,13810,102186,0.5539444444,0.717900009155273,0.13329999923706,0.11619999885559,0.0751000022888183,0.642521797451,0.720873291165,18750,57900
"Rutgers University-New Brunswick","New Brunswick","NJ",35656,"Public","Mid East",0.6011,28,25,25,29877,14088,106587,0.5539444444,0.717900009155273,0.13329999923706,0.11619999885559,0.0751000022888183,0.642521797451,0.720873291165,18750,57900
"Rutgers University-Newark","Newark","NJ",8761,"Public","Mid East",0.6274,22,19,19,25083,18723,122823,0.5539444444,0.717900009155273,0.13329999923706,0.11619999885559,0.0751000022888183,0.642521797451,0.720873291165,18750,57900
"Sacred Heart University","Fairfield","CT",5907,"Private","New England",0.6044,NA,NA,NA,57542,22999,82107,0.6625905797,0.844899978637695,0.0686999988555908,0.0827000045776367,0.0328999996185302,0.604294478528,0.603773584906,20265,56000
"SAE Expression College","Emeryville","CA",603,"Private","Far West",NA,NA,NA,NA,32771,14361,38538,0.2253164557,0.5875,0.130200004577636,0.165599994659423,0.144499998092651,0.516556291391,0.548387096774,18750,48400
"Saginaw Valley State University","University Center","MI",7431,"Public","Great Lakes",0.7739,23,19,19,20893,9238,74520,0.6005639098,0.881999969482422,0.0773999977111816,0.0320000004768371,0.0083999997377395,0.285380116959,0.3832,19500,39300
"Saint Ambrose University","Davenport","IA",2289,"Private","Plains",0.6269,23,20,20,44319,18419,66645,0.595194085,0.90120002746582,0.0473000001907348,0.0486999988555908,0.0147000002861022,0.561688311688,0.621621621622,20500,47300
"Saint Anselm College","Manchester","NH",2016,"Private","New England",0.7664,27,24,24,56405,20942,80118,0.6028537455,0.924599990844726,0.0213000011444091,0.0321000003814697,0.0235999989509582,0.737804878049,0.802083333333,26803,58300
"Saint Augustine's University","Raleigh","NC",767,"Private","South East",0.6341,15,13,13,32156,14048,53244,0.435483871,0.49560001373291,0.42,0.0730000019073486,0.0249000000953674,0.244827586207,0.330543933054,11000,27300
"Saint Cloud State University","Saint Cloud","MN",8983,"Public","Plains",0.862,21,18,18,19401,5668,88218,0.5498132005,0.935400009155273,0.0175999999046325,0.0207999992370605,0.0178999996185302,0.347470238095,0.417040358744,14250,44200
"Saint Edward's University","Austin","TX",3757,"Private","South West",0.8639,25,22,22,57226,23419,78066,0.6216216216,0.754899978637695,0.0705999994277954,0.2925,0.0335999989509582,0.501672240803,0.57326007326,19988,46500
"Saint Francis University","Loretto","PA",1668,"Private","Mid East",0.7538,23,20,20,49177,14425,64494,0.644993498,0.912600021362304,0.0538999986648559,0.0205999994277954,0.0136000001430511,0.47,0.650406504065,27000,52200
"Saint John Fisher College","Rochester","NY",2728,"Private","Mid East",0.6445,24,22,22,46635,20828,84510,0.6097222222,0.891100006103515,0.0634999990463257,0.0313000011444091,0.0151999998092651,0.646875,0.750972762646,20000,47800
"Saint Johns University","Collegeville","MN",1667,"Private","Plains",0.797,25,22,22,56340,18304,76698,NA,0.927399978637695,0.0222000002861022,0.0263000011444091,0.0204999995231628,NA,NA,23250,60600
"Saint Joseph's College of Maine","Standish","ME",1412,"Private","New England",0.8362,21,18,18,49818,12717,55764,0.6390041494,0.941800003051757,0.0224000000953674,0.0206999993324279,0.0113999998569488,0.446043165468,0.483443708609,16745,43400
"Saint Joseph's University","Philadelphia","PA",4814,"Private","Mid East",0.7632,26,23,23,60391,22994,94932,0.5929844098,0.802200012207031,0.126800003051757,0.0407999992370605,0.0383999991416931,0.697516930023,0.729090909091,20250,59600
"Saint Leo University","Saint Leo","FL",8484,"Private","South East",0.6026,23,19,19,36961,11346,72630,0.6721270161,0.724700012207031,0.196000003814697,0.081899995803833,0.0232999992370605,0.375782881002,0.39592760181,15750,43800
"Saint Louis University","Saint Louis","MO",6917,"Private","Plains",0.5753,28,25,25,56344,21474,93465,0.6241106719,0.825699996948242,0.119300003051757,0.0375999999046325,0.0240000009536743,0.607142857143,0.653038674033,20500,56500
"Saint Luke's College of Health Sciences","Kansas City","MO",513,"Private","Plains",NA,NA,NA,NA,NA,12801,68895,0.9148148148,0.883099975585937,0.0621999979019165,0.0355999994277954,0.0190999996662139,NA,NA,17342,62300
"Saint Martin's University","Lacey","WA",1284,"Private","Far West",0.9563,21,18,18,49064,18082,59940,0.5875216638,0.808199996948242,0.0417000007629394,0.0607000017166137,0.0528000020980835,0.598870056497,0.580808080808,17187,47800
"Saint Mary's College","Notre Dame","IN",1439,"Private","Great Lakes",0.819,25,22,22,54787,18549,66555,NA,0.876999969482422,0.0569000005722045,0.0498000001907348,0.0251999998092651,NA,NA,25000,46200
"Saint Mary's College of California","Moraga","CA",2781,"Private","Far West",0.7719,25,22,22,65419,22631,97317,0.629740519,0.66870002746582,0.0592000007629394,0.184699993133544,0.124399995803833,0.604895104895,0.608374384236,21500,56300
"Saint Mary's University of Minnesota","Winona","MN",1409,"Private","Plains",0.9147,23,20,20,45203,13209,62091,0.5970744681,0.876800003051757,0.046100001335144,0.0478999996185302,0.0303999996185302,0.54954954955,0.623076923077,17776,47800
