Case,Location,Year,Type,Age,Race,Gender,Fatalities,Injured,Victims,Place,Legally,Mental,Sources
Chuck E. Cheese's killings,"Aurora, Colorado",1993,Mass,19,black,male,4,1,5,Workplace,unknown/tbd,unclear/unknown/tbd,"http://www.denverpost.com/news/ci_20218952/aurora-chuck-e-cheese-killers-appeal-cites-mental; http://abcnews.go.com/US/auroras-massacre-victims-20-year-wait-justice/story?id=16847013; http://www.5280.com/magazine/2008/12/politics-killing?page=0,6 "
Long Island Rail Road massacre,"Garden City, New York",1993,Spree,35,black,male,6,19,25,Other,yes,yes,http://www.nytimes.com/1993/12/12/nyregion/tormented-life-special-report-long-slide-privilege-ends-slaughter-train.html; http://www.vpc.org/studies/wgun931207.htm
Luigi's shooting,"Fayetteville, North Carolina",1993,Mass,22,white,male,4,8,12,Other,yes,no,"http://articles.latimes.com/1993-08-08/news/mn-21847_1_kills-army-french; http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en"
101 California Street shootings,"San Francisco, California",1993,Mass,55,white,male,9,6,15,Other,no,no,http://articles.latimes.com/1993-07-03/news/mn-10731_1_mortgage-business/2; http://www.motherjones.com/print/16316; http://www.vpc.org/studies/wgun930701.htm
Watkins Glen killings,"Watkins Glen, New York",1992,Mass,50,white,male,5,0,5,Other,yes,yes,http://www.nytimes.com/1992/10/17/nyregion/shooting-followed-tougher-efforts-to-collect-child-support.html?pagewanted=2&src=pm; http://www.nytimes.com/1992/10/16/nyregion/gunman-kills-4-who-collected-child-payments.html?pagewanted=all&src=pm; http://www.nytimes.com/1992/10/24/nyregion/watkins-glen-killings-called-planned.html
Lindhurst High School shooting,"Olivehurst, California",1992,Mass,20,white,male,4,10,14,School,yes,no,http://www.schoolshooters.info/PL/Subject-Houston_files/Nine%20Brief%20Sketches.pdf; http://www.appeal-democrat.com/news/school-47104-shooting-eckardt.html; http://nl.newsbank.com/nl-search/we/Archives?p_product=SB&p_theme=sb&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB0D9D91FC593A0&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.sfgate.com/crime/article/Death-verdict-OKd-for-school-slaughter-3758444.php
Royal Oak postal shootings,"Royal Oak, Michigan",1991,Mass,31,white,male,5,5,10,Workplace,yes,yes,http://www.nytimes.com/1991/11/15/us/ex-postal-worker-kills-3-and-wounds-6-in-michigan.html; http://www.mlive.com/news/detroit/index.ssf/2011/11/monday_ceremony_marks_20_years.html
University of Iowa shooting,"Iowa City, Iowa",1991,Spree,28,asian,male,6,1,7,School,yes,unclear/unknown/tbd,http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm; http://thegazette.com/2011/11/01/gang-lu-shootings-at-ui-remembered-20-years-later/; http://www.nytimes.com/1991/11/04/us/iowa-gunman-was-torn-by-academic-challenge.html?pagewanted=2&src=pm
Luby's massacre,"Killeen, Texas",1991,Mass,35,white,male,24,20,44,Other,yes,no,http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm; http://www.kwtx.com/home/headlines/7048182.html; http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.vpc.org/studies/wgun911016.htm
GMAC massacre,"Jacksonville, Florida",1990,Mass,42,black,male,10,4,14,Other,yes,no,http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html; http://www.nytimes.com/1990/06/20/us/hazy-records-helped-florida-gunman-buy-arms.html; http://www.vpc.org/studies/wgun900618.htm; http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html?pagewanted=all&src=pm
Standard Gravure shooting,"Louisville, Kentucky",1989,Mass,47,white,male,9,12,21,Workplace,yes,yes,http://nl.newsbank.com/nl-search/we/Archives?p_product=LH&s_site=kentucky&p_multi=LH&p_theme=realcities&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB73C025033DC82&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.nytimes.com/1989/09/16/us/disturbed-past-of-killer-of-7-is-unraveled.html?pagewanted=all&src=pm
Stockton schoolyard shooting,"Stockton, California",1989,Mass,26,white,male,6,29,35,School,yes,yes,"http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304; http://news.google.com/newspapers?id=N8IzAAAAIBAJ&sjid=kDIHAAAAIBAJ&pg=6930,6475926&dq=patrick+purdy&hl=en; http://www.time.com/time/magazine/article/0,9171,151105,00.html"
ESL shooting,"Sunnyvale, California",1988,Mass,39,white,male,7,4,11,Workplace,yes,yes,"http://articles.latimes.com/1988-02-18/news/mn-43514_1_mr-farley-richard-farley-sunnyvale-public-safety-department; http://news.google.com/newspapers?id=uqxAAAAAIBAJ&sjid=sDIHAAAAIBAJ&pg=2425,5898911&dq=richard+farley+shooting&hl=en; http://news.google.com/newspapers?id=FmYzAAAAIBAJ&sjid=WzIHAAAAIBAJ&pg=7028,576811&dq=richard+farley+shooting&hl=en"
Shopping centers spree killings,"Palm Bay, Florida",1987,Spree,59,white,male,6,14,20,Other,yes,yes,http://articles.latimes.com/1987-04-25/news/mn-990_1_palm-bay-police
United States Postal Service shooting,"Edmond, Oklahoma",1986,Mass,44,white,male,15,6,21,Workplace,yes,unclear/unknown/tbd,"http://news.google.com/newspapers?id=dm8aAAAAIBAJ&sjid=pyoEAAAAIBAJ&pg=2297,4870051&dq=patrick+sherrill&hl=en"
San Ysidro McDonald's massacre,"San Ysidro, California",1984,Mass,41,white,male,22,19,41,Other,yes,yes,http://www.utsandiego.com/san-ysidro-massacre/; http://www.vpc.org/studies/wgun840718.htm
Dallas nightclub shooting,"Dallas, Texas",1984,Mass,39,white,male,6,1,7,Other,no,yes,"http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA38&lpg=PA38&dq=Abdelkrim+Belachheb+mental&source=bl&ots=D56pgdNnnl&sig=grAT08P9HLfPoHVgwlXt8RfPHz0&hl=en&; http://www.nytimes.com/1984/06/30/us/6-die-in-dallas-club-as-enraged-man-fires-wildly.html; http://news.google.com/newspapers?id=gKQyAAAAIBAJ&sjid=WO8FAAAAIBAJ&pg=1236,2915759&dq=abdelkrim+belachheb&hl=en; http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA67&lpg=PA67&dq=%22hine+pawnshop%22+gun&source=bl&ots=D55vgfTsnk&sig=zDxr5nohKnNQWvLrUFmZGYQ5ar4&hl=en&sa=X&ei=9WZSUN2FN-XZigKN-oGoCA&ved=0CDcQ6AEwAA#v=onepage&q=%22hine%20pawnshop%22%20gun&f=false"
Welding shop shooting,"Miami, Florida",1982,Mass,51,white,male,8,3,11,Other,yes,yes,http://www.nytimes.com/1982/08/21/us/gunman-in-miami-kills-8-in-rampage.html; http://www.nytimes.com/1982/08/24/us/no-charges-planned-against-miami-man-who-shot-gunman.html; http://www.nytimes.com/1982/10/14/us/florida-city-rescinds-law-on-buying-guns.html
