"ID","AB","R","H","X2B","HR","RBI","SB","CS","BB","SO"
"bethach01",636,0.122641509433962,0.251572327044025,0.0534591194968553,0.0345911949685535,0.106918238993711,0.0157232704402516,0.00314465408805031,0.0377358490566038,0.251572327044025
"bettsmo01",572,0.204545454545455,0.269230769230769,0.0699300699300699,0.0611888111888112,0.143356643356643,0.020979020979021,0.0034965034965035,0.0961538461538462,0.181818181818182
"bichebo01",652,0.139570552147239,0.289877300613497,0.0659509202453988,0.0368098159509202,0.142638036809816,0.0199386503067485,0.0122699386503067,0.0628834355828221,0.237730061349693
"biggica01",257,0.167315175097276,0.202334630350195,0.0700389105058366,0.0233463035019455,0.0933852140077821,0.00778210116731518,0,0.147859922178988,0.330739299610895
"blackch02",530,0.113207547169811,0.264150943396226,0.0415094339622641,0.030188679245283,0.147169811320755,0.00754716981132075,0.00188679245283019,0.060377358490566,0.205660377358491
"bledajj01",204,0.102941176470588,0.166666666666667,0.0490196078431373,0.0245098039215686,0.0784313725490196,0.0196078431372549,0.00490196078431373,0.147058823529412,0.32843137254902
"bogaexa01",557,0.1508078994614,0.307001795332136,0.0682226211849192,0.0269299820466786,0.131059245960503,0.0143626570915619,0.00359066427289048,0.102333931777379,0.211849192100539
"bohmal01",586,0.13481228668942,0.279863481228669,0.0409556313993174,0.0221843003412969,0.122866894197952,0.00341296928327645,0.00511945392491468,0.052901023890785,0.187713310580205
"bradlja02",688,0.0872093023255814,0.203488372093023,0.0668604651162791,0.0116279069767442,0.11046511627907,0.00581395348837209,0.00872093023255814,0.0697674418604651,0.223837209302326
"brantmi02",243,0.11522633744856,0.288065843621399,0.0576131687242798,0.0205761316872428,0.106995884773663,0.00411522633744856,0.00411522633744856,0.127572016460905,0.123456790123457
